"Country","Population","Rural","GNI","Imports","Exports","Military","Cell","Fertility","Measles","InfMort","LifeExp","PM2.5","CO2","EnergyUse","Renewable","Debt"
"New Zealand",5223100,13.015,48530,26.2123468357678,22.3372987322993,1.1788672845172,113.9631575,1.66,90,3.9,82.7609756097561,6.48591499675774,6.32593996716955,3.77,28.9,NA
"Nicaragua",7046310,40.151,2090,60.0778754515429,46.6173227650007,0.52647269455043,97.10898703,2.284,93,13.1,74.615,16.809772538789,0.82528446869434,4.29,50.4,102.227346386211
"Niger",27202843,82.946,580,27.0221728812007,9.99372066917064,1.66437842193306,56.38600069,6.749,65,60.3,62.08,85.1223455605238,0.100473226147901,5.19,79.6,38.5236980281386
"Nigeria",223804632,45.717,2160,NA,NA,0.635544551107252,91.43723303,5.143,60,68.5,53.633,56.5313287289257,0.561680787237512,6.57,80.3,21.388776687452
"North Macedonia",1811980,40.521,7500,81.2775466279157,65.4438648561578,1.60534290001473,92.29897353,1.6,71,4.1,74.4248780487805,26.118651401474,4.55120673992418,3.25,19.5,89.2565771419059
"Northern Mariana Islands",49796,7.92400000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.71463085081006,0,NA,0.5,NA
"Norway",5519594,16.005,96770,28.1864118553233,43.0363019206366,1.63766554089693,109.6884687,1.41,96,1.8,82.5609756097561,6.05589724673443,7.74834450435183,3.43,61.4,NA
"Oman",4644384,11.6,20020,41.3895442243827,52.5266019364016,5.16766661805132,135.0769728,2.567,97,9,73.935,39.5835768902765,20.0269082127082,7.21,0.1,NA
"Pakistan",240485658,61.96,1570,17.9788210968775,9.05160046188653,2.63074028023171,81.55130785,3.41,82,51,66.431,42.9981734249878,0.845245485609571,4.21,41.6,34.3598473926687
"Palau",18058,17.592,13570,75.8557595579283,6.94436801122891,NA,133.1557923,NA,96,22.1,NA,7.32770979431049,75.1647743007477,13.27,0.9,NA
"Panama",4468087,30.488,17050,37.6565996222409,41.1061104079289,NA,147.7006123,2.297,92,11.4,76.826,11.4700607490209,2.5822367786823,1.41,28,NA
"Papua New Guinea",10329931,86.277,2700,NA,NA,0.332904919500801,48.42485057,3.165,44,33.4,65.958,17.3105425567239,0.464958804032765,6.54,54.5,62.7549941749547
